product_id,category,color,price,sales,date
767,Intimates,red,69.97,1,2026-01-18
1080,Dresses,pink,74.31,1,2026-01-18
1077,Dresses,black,58.37,0,2026-01-18
1049,Pants,pink,47.2,1,2026-01-18
847,Blouses,white,115.07,1,2026-01-18
1080,Dresses,pink,81.78,0,2026-01-18
858,Knits,black,31.6,1,2026-01-18
858,Knits,white,38.36,1,2026-01-18
1077,Dresses,beige,109.17,1,2026-01-18
1077,Dresses,blue,95.81,1,2026-01-18
1077,Dresses,pink,80.62,0,2026-01-18
1095,Dresses,white,28.11,1,2026-01-18
1095,Dresses,black,50.34,1,2026-01-18
767,Intimates,blue,106.68,1,2026-01-18
1077,Dresses,green,44.77,1,2026-01-18
1065,Pants,blue,33.38,1,2026-01-18
1065,Pants,red,108.98,1,2026-01-18
853,Blouses,blue,107.91,1,2026-01-18
1120,Outerwear,green,30.71,1,2026-01-18
1077,Dresses,black,45.68,1,2026-01-18
847,Blouses,beige,61.74,1,2026-01-18
1080,Dresses,red,52.0,1,2026-01-18
1077,Dresses,black,96.22,0,2026-01-18
1077,Dresses,white,69.08,1,2026-01-18
847,Blouses,green,72.61,1,2026-01-18
697,Lounge,white,32.61,0,2026-01-18
949,Sweaters,beige,49.67,0,2026-01-18
1003,Skirts,red,56.25,1,2026-01-18
684,Lounge,green,53.15,1,2026-01-18
4,Sweaters,green,47.37,1,2026-01-18
1060,Pants,blue,106.36,1,2026-01-18
1060,Pants,red,57.37,1,2026-01-18
1060,Pants,red,42.23,1,2026-01-18
949,Sweaters,pink,101.14,0,2026-01-18
697,Lounge,green,21.64,1,2026-01-18
1060,Pants,red,32.14,1,2026-01-18
1002,Skirts,pink,65.03,1,2026-01-18
949,Sweaters,beige,97.54,1,2026-01-18
684,Lounge,black,56.28,1,2026-01-18
862,Knits,pink,98.0,1,2026-01-18
862,Knits,blue,72.39,1,2026-01-18
862,Knits,beige,26.68,1,2026-01-18
910,Fine gauge,pink,112.61,1,2026-01-18
89,Sleep,blue,75.95,1,2026-01-18
862,Knits,red,111.2,1,2026-01-18
862,Knits,red,48.24,1,2026-01-18
862,Knits,red,65.44,1,2026-01-18
823,Blouses,blue,65.08,1,2026-01-18
910,Fine gauge,green,58.18,1,2026-01-18
862,Knits,red,30.51,1,2026-01-18
862,Knits,pink,93.16,1,2026-01-18
862,Knits,black,41.06,1,2026-01-18
1104,Dresses,white,26.94,1,2026-01-18
862,Knits,white,65.64,1,2026-01-18
862,Knits,red,70.49,1,2026-01-18
862,Knits,pink,54.27,1,2026-01-18
368,Intimates,white,109.19,0,2026-01-18
862,Knits,pink,75.67,0,2026-01-18
1095,Dresses,pink,70.91,1,2026-01-18
368,Intimates,white,84.3,1,2026-01-18
1095,Dresses,black,44.06,1,2026-01-18
368,Intimates,green,55.99,0,2026-01-18
862,Knits,black,38.95,1,2026-01-18
862,Knits,pink,45.02,1,2026-01-18
862,Knits,red,44.95,1,2026-01-18
862,Knits,green,114.98,1,2026-01-18
862,Knits,beige,42.64,1,2026-01-18
862,Knits,green,110.45,1,2026-01-18
862,Knits,beige,82.92,0,2026-01-18
1078,Dresses,black,93.86,0,2026-01-18
845,Blouses,red,27.1,1,2026-01-18
